id,title
11659,flexible decision making in sequential auctions
11663,quantifying incentive compatibility of ranking systems
11665,quonto querying ontologies
11667,on the optimality of probability estimation by random decision trees
11671,hiding satisfying assignments two are better than one
11677,the kojak group finder connecting the dots via integrated knowledge based and statistical reasoning
11679,building applications using end to end composition of web services
11683,team member reallocation via tree pruning
11685,quicr learning for multi agent coordination
11687,pengi an implementation of a theory of activity
11690,proving theorems of type theory automatically with tps
11691,keeping in touch maintaining biconnected structure by homogeneous robots
11693,biconnected structure for multi robot systems
11696,clustering by exceptions
11698,fuzzy induction in dynamic user profiling for information filtering
11702,the impact of balancing on problem hardness in a highly structured domain
11704,the achilles heel of qbf
11706,modeling choices in quasigroup completion sat vs csp
11716,explaining qualitative decision under uncertainty by argumentation
11718,semaplan combining planning with semantic matching to achieve web service composition
11725,cpm context aware power management in wlans
11727,model checking memory requirements of resource bounded reasoners
11729,generating safe assumption based plans for partially observable nondeterministic domains
11736,machine learning and its application at nooksack falls hydroelectric station
11743,helicopter routing for maintaining remote sites in alaska using a genetic algorithm
11744,recent developments in butterfly lisp
11749,compilation of query rewriting problems into tractable fragments of propositional logic
11751,autonomous subgoal discovery and hierarchical abstraction for reinforcement learning using monte carlo method
11760,compare and contrast a test of expertise
11761,ai support for building cognitive models
11763,tool use for autonomous agents
11772,design and implementation of the calo query manager
11776,maintaining cooperation in noisy environments
11777,mechanism design for single value domains
11778,the ai technologies of the philadelphia area urban wireless network testbed
11779,intelligent systems demonstration the secure wireless agent testbed swat
11781,impersonation based mechanisms
11784,solving discsps with penalty driven search
11786,semi supervised clustering with limited background knowledge
11810,a value theory of meta learning algorithms
11812,robust supervised learning
11813,classifying learner engagement through integration of multiple data sources
11814,planning with first order temporally extended goals using heuristic search
11817,spatial aggregation for qualitative assessment of scientific computations
11833,reactive planning in a motivated behavioral architecture
11840,mining opinion features in customer reviews
11846,an architecture for intelligent task automation
11863,boosting sex identification performance
11864,on predicting user intent
11866,mixed initiative approach to collaboration in the mathematical domain
11871,performance bounded reinforcement learning in strategic interactions
11873,efficient no regret multiagent learning
11878,abstract branching for quantified formulas
11881,using sat and logic programming to design polynomial time algorithms for planning in non deterministic domains
11884,hybrid possibilistic networks
11885,reasoning about intended actions
11886,algorithms for rationalizability and curb sets
11891,goal specification non determinism and quantifying over policies
11892,regrets only online stochastic optimization under time constraints
11895,opinion extraction and summarization on the web
11897,mathematical domain reasoning tasks in natural language tutorial dialog on proofs
11900,manufacturing processes recognition of machined mechanical parts using svms
11902,the sensitivity of motion and structure computations
11911,leap before you look an effective strategy in an oversubscribed scheduling problem
11919,perspective taking an organizing principle for learning in human robot interaction
11933,an algorithm better than ao
11936,practical first order argumentation
11945,incremental inference getting multiple agents to agree on what to do next
11948,acquiring constraint networks using a sat based version space algorithm
11949,csp properties for quantified constraints definitions and complexity
11950,the complexity of global constraints
11955,weighted one against all
11957,an iterative algorithm for solving constrained decentralized markov decision processes
11963,on the difficulty of modular reinforcement learning for real world partial programming
11972,lazy approximation for solving continuous finite horizon mdps
11975,on combining multiple classifiers using an evidential approach
11979,an anytime scheme for bounding posterior beliefs
11983,dr prolog a system for reasoning with rules and ontologies on the semantic web
11985,learnable similarity functions and their applications to clustering and record linkage
11991,cclisp on the ipsc concurrent computer
11993,semantically guiding a first order theorem prover with a soft model
11998,eliciting bid taker non price preferences in combinatorial auctions
12006,domain transmutation in constraint satisfaction problems
12009,semi supervised sequence modeling with syntactic topic models
12010,detecting and eliminating the cascade vulnerability problem from multilevel security networks using soft constraints
12012,a distributed approach to passive localization for sensor networks
12013,coordination and adaptation in impromptu teams
12015,subjective mapping
12016,a benchmark for cooperative learning agents
12018,combining stochastic and greedy search in hybrid estimation
12022,pyro an integrated environment for robotics education
12026,fast hierarchical goal schema recognition
12034,robust execution on contingent temporally flexible plans
12040,searching for stable mechanisms automated design for imperfect players
12041,factored planning how when and when not
12043,preferences over sets
12046,an analysis of procedure learning by instruction
12047,optimal efficient learning equilibrium imperfect monitoring in symmetric games
12056,genre classification of web documents
12059,the regularized em algorithm
12074,on strictly competitive multi player games
12079,mpe and partial inversion in lifted probabilistic variable elimination
12080,an inference model for semantic entailment in natural language
12081,stochastic local search for pomdp controllers
12082,preference elicitation and generalized additive utility
12089,prioritized component systems
12091,effective approaches for partial satisfaction over subscription planning
12092,discovering domain specific composite kernels
12111,reasoning about exceptions during plan execution monitoring
12114,a comparison of novel and state of the art polynomial bayesian network learning algorithms
12115,skill acquisition and use for a dynamically balancing soccer robot
12117,recovery planning for ambiguous cases in perceptual anchoring
12120,the robot intelligence kernel
12122,progress in textual case based reasoning predicting the outcome of legal cases from text
12127,ready or not here i come 
12133,speeding up learning in real time search via automatic state abstraction
12141,using snarpy to connect a kr system to pyro
12142,introductory computer science with robots
12143,robots in an intelligent systems course
12166,use of expert knowledge for decision tree pruning
12173,dl lite tractable description logics for ontologies
12174,an axiomatic account of formal argumentation
12177,visual odometry using commodity optical flow
12181,learning support vector machines from distributed data sources
12188,low knowledge algorithm control
12189,b roc curves for the assessment of classifiers over imbalanced data sets
12194,exploring more realistic evaluation measures for collaborative filtering
12195,learning source descriptions for web services
12208,handling self interest in groups with minimal cost
12221,multiple goal recognition from low level signals
12224,using semantics to identify web objects
12228,scaling up word sense disambiguation via parallel texts
12232,data validation during diagnosis a step beyond traditional sensor validation
12235,local consistency in junction graphs for constraint based inference
12251,tenth anniversary of the plastics color formulation tool
12252,case based reasoning for general electric appliance customer support
12253,collapsibility and consistency in quantified constraint satisfaction
12254,reducing indeterminism in consultation a cognitive model of userlibrarian interactions
12257,evaluating critiquing based recommender agents
12259,robust and self repairing formation control for swarms of mobile agents
12261,constrained decision diagrams
12264,a computational model of narrative generation for suspense
12266,comparing minimax and product in a variety of games
12268,integrated ai in space the autonomous sciencecraft on earth observing one
12276,an analysis of knowledge collected from volunteer contributors
12280,motion based autonomous grounding inferring external world properties from encoded internal sensory states alone
12281,an edge deletion semantics for belief propagation and its practical impact on approximation quality
12283,representing databases in frames
12288,comparing cognitive and computational models of narrative structure
12296,scheduling engineering works for the mtr corporation in hong kong
12297,the max armed bandit a new model of exploration applied to search heuristic selection
12313,madbot a motivated and goal directed robot
12315,cross modal clustering
12316,self supervised acquisition of vowels in american english
12333,mu a development environment for prospective reasoning systems
12334,constraint symmetry and solution symmetry
12337,intention  choice  commitment
12348,reasoning about fluids via molecular collections
12355,computational aspects of mechanism design
12356,computing slater rankings using similarities among candidates
12357,improved bounds for computing kemeny rankings
12358,combinatorial auctions with structured item graphs
12361,computing shapley values manipulating value division schemes and checking core membership in multi issue domains
12362,expressive negotiation in settings with externalities
12363,a generalized strategy eliminability criterion and computational methods for applying it
12364,nonexistence of voting rules that are usually hard to manipulate
12365,combinatorial auctions with wise dependent valuations
12366,learning to control a dynamic physical system
12368,selection and ranking of propositional formulas for large scale service directories
12375,building explainable artificial intelligence systems
12377,achieving flexibility efficiency and generality in blackboard architectures
12383,propositional fragments for knowledge compilation and quantified boolean formulae
12384,merging argumentation systems
12402,real time classification of electromyographic signals for robotic control
12405,adaptive sampling based large scale stochastic resource control
12407,comparative experiments on sentiment classification for online product reviews
12410,reducing labeling effort for structured prediction tasks
12411,state agnostic planning graphs and the application to belief space planning
12413,scriptease   motivational behaviors for interactive characters in computer role playing games
12418,troubleshooting when modeling is the trouble
12419,focusing and reference resolution in pundit
12421,tensor embedding methods
12427,overlapping coalition formation for efficient data fusion in multi sensor networks
12428,an extended protocol for multiple issue concurrent negotiation
12439,when gossip is good distributed probabilistic inference for detection of slow network intrusions
12442,a computational study of the kemeny rule for preference aggregation
12446,an ensemble technique for stable learners with performance bounds
12447,scavenging with a laptop robot
12448,identifying and generating easy sets of constraints for clustering
12465,societal grounding is essential to meaningful language use
12466,a computational model of the cerebral cortex
12468,incremental causal reasoning
12478,removing redundancies in constraint networks
12490,an approach to default reasoning based on a first order conditional logic
12497,a multifrontal qr factorization approach to distributed inference applied to multirobot localization and mapping
12499,efficient triangulation based pathfinding
12504,counterfactual reasoning with direct models
12518,the us national football league scheduling problem
12519,on boosting semantic web data access
12520,boosting semantic web data access using swoogle
12521,nonnegative matrix factorization and probabilistic latent semantic indexing equivalence chi square statistic and a hybrid method
12525,implementing a generalized version of resolution
12528,probcons probabilistic consistency based multiple alignment of amino acid sequences
12531,towards exploiting duality in approximate linear programming for mdps
12540,unifying logical and statistical ai
12552,unitran an interlingual approach to machine translation
12554,a framework for optimal sequential planning in multiagent settings
12555,a particle filtering based approach to approximating interactive pomdps
12557,inexact matching of ontology graphs using expectation maximization
12559,diagnostic improvement through qualitative sensitivity analysis and aggregation
12568,traffic intersections of the future
12569,making autonomous intersection management backwards compatible
12578,monitoring food safety by detecting patterns in consumer complaints
12594,multi resolution learning for knowledge transfer
12597,cost optimal external planning
12598,cost algebraic heuristic search
12604,extending dynamic backtracking to solve weighted conditional csps
12608,recovering from erroneous inferences
12611,strong and uniform equivalence in answer set programming characterizations and complexity results for the non ground case
12614,forgetting and conflict resolving in disjunctive logic programming
12623,camex   an expert system for process planning on cnc machines
12625,the paradoxical success of fuzzy logic
12628,dnnf based belief state estimation
12634,learning cpg sensory feedback with policy gradient for biped locomotion for a full body humanoid
12635,cui networks a graphical representation for conditional utility independence
12646,cumulative effects of concurrent actions on numeric valued fluents
12647,genome rearrangement and planning
12648,webcrow a web based system for crossword solving
12656,when a decision tree learner has plenty of time
12657,engineering open multi agent systems as electronic institutions
12660,more on inheritance hierarchies with exceptions default theories and inferential distance
12668,machine reading
12669,methods for domain independent information extraction from the web an experimental comparison
12678,the complexity of bribery in elections
12685,interpreting loosely encoded questions
12686,the semantics of potential intentions
12689,complete local search for propositional satisfiability
12697,learning models of macrobehavior in complex adaptive systems
12706,coordinating text and graphics in explanation generation
12708,a two step hierarchical algorithm for model based diagnosis
12712,knowledge based interactive selling of financial services with fsadvisor
12714,compressing pattern databases
12716,towards modeling threaded discussions using induced ontology knowledge
12717,mining and re ranking for answering biographical queries on the web
12718,efficient maximization in solving pomdps
12729,metrics for finite markov decision processes
12739,swoogle searching for knowledge on the semantic web
12749,improving inference through conceptual clustering
12754,quasi monotonic segmentation of state variable behavior for reactive control
12757,forward chaining logic programming with the atms
12758,incremental estimation of discrete hidden markov models based on a new backward procedure
12759,inconsistencies negations and changes in ontologies
12765,vmodel a visual qualitative modeling environment for middle school students
12770,analogical learning of visualconceptual relationships in sketches
12775,techniques for generating optimal robust plans when temporal uncertainty is present
12780,validating plans in the context of processes and exogenous events
12781,exploration of the robustness of plans
12786,sofias choice an ai approach to scheduling airborne astronomy observations
12813,rapid object recognition from discriminative regions of interest
12823,a hybrid generativediscriminative approach to semi supervised classifier design
12835,overcoming the brittleness bottleneck using wikipedia enhancing text categorization with encyclopedic knowledge
12837,affective recruitment of distributed heterogeneous agents
12840,learning social preferences in games
12842,automatic summarization of conversational multi party speech
12843,taxi a taxonomic assistant
12847,fibring neural networks
12849,mixed collaborative and content based filtering with user contributed semantic features
12854,computational costs versus benefits of control reasoning
12859,agent organized networks for multi agent production and exchange
12860,table extraction using spatial reasoning on the css2 visual box model
12864,overview of autofeed an unsupervised learning system for generating webfeeds
12871,assessing the complexity of plan recognition
12875,on stratified autoepistemic theories
12894,reactive reasoning and planning
12895,incremental least squares temporal difference learning
12899,fast planning in domains with derived predicates an approach based on rule action graphs and local search
12901,visibility based pursuit evasion with limited field of view
12906,length lex ordering for set csps
12914,on the update of description logic ontologies at the instance level
12915,scaling up reasoning about actions using relational database technology
12920,optimal rhode island holdem poker
12921,a competitive texas holdem poker player via automated abstraction and real time equilibrium computation
12934,possible worlds and the qualification problem
12935,ibundler an agent based decision support service for combinatorial negotiations
12939,sat based answer set programming
12944,exploiting tree decomposition and soft local consistency in weighted csp
12947,a probabilistic classification approach for lexical textual entailment
12951,a comparison of techniques for scheduling earth observing satellites
12959,complexity in classificatory reasoning
12960,incremental recompilation of knowledge
12972,a maximum entropy approach to nonmonotonic reasoning
12978,model counting a new strategy for obtaining good bounds
12991,textal automated crystallographic protein structure determination
12995,branching storylines in virtual reality environments for leadership development
12997,bounded treewidth as a key to tractability of knowledge representation and reasoning
13001,tempoexpress an expressivity preserving musical tempo transformation system
13008,towards a validated model of emotional intelligence
13013,privatizing constraint optimization
13014,analysis of privacy loss in distributed constraint optimization
13029,predicting electricity distribution feeder failures using machine learning susceptibility analysis
13041,filming a terrain under uncertainty using temporal and probahilistic reasoning
13043,discriminative model selection for belief net structures
13045,large scale knowledge base systems an empirical evaluation perspective
13046,explanation based failure recovery
13047,common sense data acquisition for indoor mobile robots
13050,active learning with near misses
13052,from centralized to distributed selective overhearing
13057,supporting collaborative activity
13062,a bdd based polytime algorithm for cost bounded interactive configuration
13063,learning indexing patterns from one language for the benefit of others
13065,mereological semantics for bio ontologies
13067,the independent lifestyle assistant ilsa ai lessons learned
13069,multiple agent event detection and representation in videos
13070,interesting instance discovery in multi relational data
13071,casee a hierarchical event representation for the analysis of videos
13073,a multiple representation approach to understanding the time behavior of digital circuits
13080,transforming between propositions and features bridging the gap
13089,automatically transforming symbolic shape descriptions for use in sketch recognition
13102,dynamic programming for partially observable stochastic games
13106,upending the uncanny valley
13108,negation contrast and contradiction in text processing
13114,a relational representation for procedural task knowledge
13118,new admissible heuristics for domain independent planning
13120,simple causal minimizations for temporal persistence and projection
13126,learning conjunctive concepts in structural domains
13131,using goal interactions to guide planning
13135,robust solutions for constraint satisfaction and optimization
13136,finding diverse and similar solutions in constraint programming
13137,on the expressiveness of rule based systems for reasoning with uncertainty
13147,anyone but him the complexity of precluding an alternative
13150,an experimental comparison of knowledge engineering for expert systems and for decision analysis
13154,new inference rules for efficient max sat solving
13171,axiom schemata as metalevel axioms model theory
13175,a new approach to distributed task assignment using lagrangian decomposition and distributed constraint satisfaction
13185,effective short term opponent exploitation in simplified poker
13186,a causal analysis method for concurrent hybrid automata
13192,controlling tiny multi scale robots for nerve repair
13194,compiling plan operators from domains expressed in qualitative process theory
13199,weighted super solutions for constraint programs
13205,object boundary detection in images using a semantic ontology
13222,a skeptical theory of inheritance in nonmonotonic semantic networks
13226,interpretation in generation
13228,kadbase   a prototype expert system database interface for integrated cae environments
13235,solving map exactly by searching on compiled arithmetic circuits
13236,on compiling system models for faster and more scalable diagnosis
13239,distributed interactive learning in multi agent systems
13241,identifiability in causal bayesian networks a sound and complete algorithm
13242,clustering and classifying person names by origin
13247,detecting runways in aerial images
13252,deciding semantic matching of stateless services
13256,representing systems with hidden state
13260,making argumentation more believable
13261,towards higher impact argumentation
13264,belief change in the context of fallible actions and observations
13265,multiclass support vector machines for articulatory feature classification
13270,regret based incremental partial revelation mechanisms
13274,fast and compact a simple class of congestion games
13293,a new strategy proof greedy allocation combinatorial auction protocol and its extension to open ascending auction protocol
13302,planning in models that combine memory with predictive representations of state
13303,improving approximate value iteration using memories and predictive state representations
13308,further investigations into regular xorsat
13309,semnews a semantic news framework
13310,semnews a semantic news framework
13315,non stationary policy learning in 2 player zero sum games
13318,darshak   an intelligent cinematic camera planning system
13319,a discourse planning approach to cinematic camera control for narratives in virtual environments
13321,generating hard satisfiable formulas by hiding solutions deceptively
13322,a polynomial time algorithm for action graph games
13323,ontosearch a full text search engine for the semantic web
13324,a bayesian network for outbreak detection and prediction
13325,kdmas a multi agent system for knowledge discovery via planning
13326,mining comparative sentences and relations
13331,a variational learning algorithm for the abstract hidden markov model
13332,a dynamic mixture model to detect student motivation and proficiency
13335,integrating diverse reasoning methods in the bb1 blackboard control architecture
13337,knowledge state reconsideration hindsight belief revision
13338,dependency directed reconsideration belief base optimization for truth maintenance systems
13340,the deep space network scheduling problem
13347,utilizing internal state in multi robot coordination tasks
13357,word order variation in natural language generation
13358,kernel methods for word sense disambiguation and acronym expansion
13360,living up to expectations computing expert responses
13361,shape and function in mechanical devices
13364,hipair interactive mechanism analysis and design using configuration spaces
13370,domain independent reason enhanced controller for task oriented systems   director
13375,quickxplain preferred explanations and relaxations for over constrained problems
13380,bayesian calibration for monte carlo localization
13388,using semantic web technologies for policy management on the web
13389,test a model driven application shell
13395,towards model based diagnosis of coordination failures
13396,diagnosis of multi robot coordination failures using distributed csp algorithms
13397,porting and extensible natural language interface a case history
13399,multiparty proactive communication a perspective for evolving shared mental models
13412,flexible teamwork in behavior based robots
13429,rules for the implicit acquisition of knowledge about the user
13431,learning to transform natural to formal languages
13432,generalized nogoods in csps
13434,social network based trust in prioritized default logic
13435,modeling human decision making in cliff edge environments
13437,deconstructing planning as satisfiability
13453,formulating concepts according to purpose
13458,defining operationality for explanation based learning
13461,inferring formal software specifications from episodic descriptions
13463,a multiprocessor architecture for production system matching
13464,learning systems of concepts with an infinite relational model
13472,dynamic regime identification and prediction based on observed behavior in electronic marketplaces
13473,strategic sales management in an autonomous trading agent for tac scm
13475,learning to reason
13481,backbones and backdoors in satisfiability
13482,estimating search tree size
13484,hand grip pattern recognition for mobile user interfaces
13501,a general solution to the graph history interaction problem
13502,search versus knowledge for solving life and death problems in go
13526,solving everyday physical reasoning problems by analogy using sketches
13528,a knack for knowledge acquisition
13539,adaptive modeling and planning for reactive agents
13546,the power of sequential single item auctions for agent coordination
13547,heterogeneous multirobot coordination with spatial and temporal constraints
13551,machine learning for fast quadrupedal locomotion
13556,critical hypersurfaces and the quantity space
13557,some computational aspects of circumscription
13559,memeta a framework for multi relational analytics on the blogosphere
13560,detecting spam blogs a machine learning approach
13569,large scale map making
13574,lessons on applying automated recommender systems to information seeking tasks
13575,an automated distributed meeting scheduler for fcvw plug in
13577,description logic ground knowledge integration and management
13580,best first frontier search with delayed duplicate detection
13583,real time heuristic search first results
13591,large scale parallel breadth first search
13614,interactive information extraction with constrained conditional random fields
13616,novel relationship discovery using opinions mined from the web
13624,know thine enemy a champion robocup coach agent
13626,automatic heuristic construction for general game playing
13627,consciousness drinking from the firehose of experience
13630,abstraction by time scale in qualitative simulation
13634,how many different john smiths and who are they
13636,a robotic wayfinding system for the visually impaired
13638,a polynomial time algorithm for simple temporal problems with piecewise constant domain preference functions
13639,simple randomized algorithms for tractable row and tree convex constraints
13640,tractable classes of metric temporal problems with domain rules
13652,activity centric email a machine learning approach
13653,forward chaining planning in nondeterministic domains
13654,using domain configurable search control for probabilistic planning
13655,controlled search over compact state representations in nondeterministic planning domains and beyond
13658,learning basis functions in hybrid domains
13662,models of axioms for time intervals
13677,only knowing taking it beyond autoepistemic reasoning
13678,towards an axiom system for default logic
13679,visual grammars for visual languages
13680,population and agent based models for language convergence
13681,neighborhood interchangeability and dynamic bundling for non binary finite csps
13683,proposing a new term weighting scheme for text categorization
13685,kfoil learning simple relational kernels
13688,boot camp for cognitive systems
13690,a unified cognitive architecture for physical agents
13694,localized representation and planning methods for parallel domains
13700,using performance profile trees to improve deliberation control
13704,script based reasoning for situation monitoring
13711,transport logistics planning with service level constraints
13713,quantifying the impact of learning algorithm parameter tuning
13726,a look at parsing and its applications
13727,coordinating agile systems through the model based execution of temporal plans
13739,loop formulas for circumscription
13746,weighted constraint satisfaction with set variables
13751,case based problem solving with a large knowledge base of learned cases
13752,interleaving temporal planning and execution in robotics domains
13758,connecting cognitive and physical worlds with dynamic cost function definition
13760,an explainable artificial intelligence system for small unit tactical behavior
13764,automatically labeling the inputs and outputs of web services
13768,impact of linguistic analysis on the semantic graph coverage and learning of document extracts
13775,large scale localization from wireless signal strength
13779,predicting task specific webpages for revisiting
13782,all i know an abridged report
13790,qualitative landmark based path planning and following
13791,machine learning for adaptive image interpretation
13800,quick shaving
13801,a fast arc consistency algorithm for n ary constraints
13802,performing incremental bayesian inference by dynamic model counting
13804,incremental least squares policy iteration for pomdps
13805,minimum description length principle generators are preferable to closed patterns
13806,detecting disjoint inconsistent subformulas for computing lower bounds for max sat
13807,identification and tracing of ambiguous names discriminative and generative approaches
13809,learning and inferring transportation routines
13811,efficient active fusion for decision making via voi approximation
13813,a decision theoretic model for stress recognition and user assistance
13816,prottle a probabilistic temporal planner
13826,an instance based state representation for network repair
13832,script and language identification in degraded and distorted document images
13838,a modular action description language
13839,a new structural induction scheme for proving properties of mutually recursive concepts
13846,ppcp efficient probabilistic planning with clear preferences in partially known environments
13848,methods for boosting revenue in combinatorial auctions
13850,approximating revenue maximizing combinatorial auctions
13851,query translation disambiguation as graph partitioning
13855,semi supervised multi label learning by constrained non negative matrix factorization
13857,risk sensitive planning with one switch utility functions value iteration
13858,properties of forward pruning in game tree search
13859,functional value iteration for decision theoretic planning with general utility functions
13860,rankcut   a domain independent forward pruning method for games
13863,tractable reasoning in first order knowledge bases with disjunctive information
13866,reasoning about discrete event sources
13868,reasoning in the presence of inconsistency
13873,text classification by labeling words
13874,local negotiation in cellular networks from theory to practice
13879,value function based transfer for reinforcement learning using structure mapping
13881,properties of programs with monotone and convex constraints
13883,local search techniques for boolean combinations of pseudo boolean constraints
13884,on odd and even cycles in normal logic programs
13885,ontology based semantic modeling for chinese ancient architectures
13886,fast sat based answer set solver
13887,a learning based term weighting approach for information retrieval
13889,cost sensitive test strategies
13894,optimal scheduling of contract algorithms for anytime problems
13895,qualitative dimensions in question answering extending the definitional qa task
13897,learning and applying competitive strategies
13906,logic programs with abstract constraint atoms
13908,distribution free learning of bayesian network structure in continuous domains
13911,task allocation via self organizing swarm coalitions in distributed mobile sensor network
13916,probabilistic self localization for sensor networks
13917,algorithm synthesis through problem reformulation
13918,memory intensive branch and bound search for graphical models
13923,supervised ranking for pronoun resolution some recent improvements
13925,bookmark hierarchies and collaborative recommendation
13927,unsupervised multilingual word sense disambiguation via an interlingua
13934,efficient haplotype inference with boolean satisfiability
13949,diagnosis as approximate belief state enumeration for probabilistic concurrent constraint automata
13951,using anticipation to create believable behaviour
13953,controversial users demand local trust metrics an experimental study on epinionscom community
13958,walk the talk connecting language knowledge and action in route instructions
13959,complexity guided case discovery for case based reasoning
13961,max 2 sat how good is tabu search in the worst case
13970,giving advice about preferred actions to reinforcement learners via knowledge based kernel regression
13971,factored mdp elicitation and plan display
13972,a simple and effective method for incorporating advice into kernel methods
13975,spinning multiple social networks for semantic web
13977,a qualitative quantitative methods based e learning support system in economic education
13979,a learning support method in qualitative simulation based economic education
13981,searching for common sense populating cyc from the web
13988,ai characters and directors for interactive computer games
13991,reasoning with orders of magnitude and approximate relations
13992,samuel meets amarel automating value function approximation using global state space analysis
13997,the deductive synthesis of imperative lisp programs
13999,learning representation and control in continuous markov decision processes
14013,dc ssat a divide and conquer approach to solving stochastic satisfiability problems efficiently
14022,multi conditional learning generativediscriminative training for clustering and classification
14024,on the evaluation of dynamic critiquing a large scale user study
14026,synthesizing algorithms with performance constraints
14052,using contracts to influence the outcome of a game
14057,adaptive algorithms for routing and traffic engineering in stochastic networks
14071,a framework for representing and solving np search problems
14073,extracting knowledge about users activities from raw workstation contents
14084,making partial choices in constraint reasoning problems
14087,algorithms for control and interaction of large formations of robots
14096,model based collaborative filtering as a defense against profile injection attacks
14097,cross system personalization by learning manifold alignments
14102,cmradar a personal assistant agent for calendar management
14104,an integrated system that unifies multiple shape from texture algorithms
14108,temporal preference optimization as weighted constraint satisfaction
14110,augmenting disjunctive temporal problems with finite domain constraints
14120,strong mediated equilibrium
14121,beyond bags of words modeling implicit user preferences in information retrieval
14126,logical foundations of negotiation outcome concession and adaptation
14128,knowledge integration for description logics
14130,finding maximally satisfiable terminologies for the description logic alc
14131,a multi resolution pyramid for outdoor robot terrain perception
14134,making better recommendations with online profiling agents
14135,a constraint satisfaction approach to geospatial reasoning
14138,mobile emergency triage support system
14142,winning the darpa grand challenge with an ai robot
14146,towards a higher level of human robot interaction and integration
14153,learning blocking schemes for record linkage
14155,phoebus a system for extracting and integrating data from unstructured and ungrammatical sources
14159,language independent extractive summarization
14161,corpus based and knowledge based measures of text semantic similarity
14168,model based monitoring and diagnosis of systems with software extended behavior
14171,intuitive linguistic joint object reference in human robot interaction human spatial reference systems and function based categorization for symbol grounding
14175,the role of context in head gesture recognition
14179,the general motors variation reduction adviser deployment issues for an ai application
14191,dd lite efficient incremental search with state dominance
14196,curing anomalous extensions
14201,temporal dynamic controllability revisited
14217,probabilistic goal recognition in interactive narrative environments
14220,learning noun modifier semantic relations with corpus based and wordnet based features
14227,towards chemical universal turing machines
14228,constraint based random stimuli generation for hardware verification
14233,temperature discovery search
14235,error bounds for approximate value iteration
14237,geometric variance reduction in markov chains application to value function and gradient estimation
14238,reasoning about partially observed actions
14239,information retrieval from never ending stories
14244,modeling human behavior for virtual training systems
14247,reasoning about temporal relations a maximal tractable subclass of allens interval algebra
14267,discourse factors in multi document summarization
14268,path dissolution a strongly complete rule of inference
14271,structure learning for statistical relational models
14274,prompt an innovative design tool
14277,capturing user intent for information retrieval
14282,online query relaxation via bayesian causal structures discovery
14285,sequential and parallel algorithms for frontier a with delayed duplicate detection
14299,reasoning about discontinuous change
14310,semantically sound inheritance for a formally defined frame language with defaults
14318,networked distributed pomdps a synthesis of distributed constraint optimization and pomdps
14327,inference in text understanding
14340,supporting queries with imprecise constraints
14342,aqua asking questions and understanding answers
14352,assimilation a strategy for implementing self reorganizing knowledge bases
14355,recommender systems attack types and strategies
14359,approximate compilation for embedded model based reasoning
14360,on the relationship between lexical semantics and syntax for the inference of context free grammars
14367,data driven mcmc for learning and inference in switching linear dynamic systems
14368,a compact representation scheme for coalitional games in open anonymous environments
14385,characterizing data complexity for conjunctive query answering in expressive description logics
14387,centibots very large scale distributed robotic teams
14392,interactive knowledge validation and query refinement in cbr
14395,strategy variations in analogical problem solving
14401,cross lingual bootstrapping of semantic lexicons the case of framenet
14403,compiling uncertainty away solving conformant planning problems using a classical planner sometimes
