id,title,Real_Train,Real_Test,X_train,X_test,label
37,teaching operating systems the windows case,FALSE,TRUE,FALSE,FALSE,6
38,using node merging to enhance graph coloring,TRUE,FALSE,TRUE,FALSE,3
39,learning to identify reduced passive verb phrases with a shallow parser,FALSE,TRUE,FALSE,FALSE,6
40,combining classifiers in text categorization,TRUE,FALSE,TRUE,FALSE,0
41,theoretical and practical tools for data base design,TRUE,FALSE,TRUE,FALSE,1
42,on multi view active learning and the combination with semi supervised learning,FALSE,TRUE,FALSE,FALSE,6
43,goal directed site independent recommendations from passive observations,TRUE,FALSE,TRUE,FALSE,2
44,towards modeling threaded discussions using induced ontology knowledge,TRUE,FALSE,TRUE,FALSE,2
45,text and image retrieval in cheshire ii demonstration abstract,FALSE,TRUE,FALSE,FALSE,6
46,generating comparative summaries of contradictory opinions in text,TRUE,FALSE,TRUE,FALSE,0
47,csbots design and deployment of a robot designed for the cs1 classroom,FALSE,TRUE,FALSE,FALSE,6
48,the revival transformation,TRUE,FALSE,TRUE,FALSE,3
49,new techniques for open vocabulary spoken document retrieval,FALSE,TRUE,FALSE,FALSE,6
50,jointly labeling multiple sequences a factorial hmm approach,FALSE,TRUE,FALSE,FALSE,6
51,development of a modern opac from revtolc to marian,FALSE,TRUE,FALSE,FALSE,6
52,quality of service transferred to information retrieval the adaptive information retrieval system,FALSE,TRUE,FALSE,FALSE,6
53,evaluating topic models for information retrieval,TRUE,FALSE,TRUE,FALSE,0
54,generalized memory manipulating actions for parsing natural language,TRUE,FALSE,TRUE,FALSE,4
55,on the semantics of the relational data model,TRUE,FALSE,TRUE,FALSE,1
56,an assessment and comparison of common software cost estimation modeling techniques,TRUE,FALSE,TRUE,FALSE,3
57,a combinator based compiler for a functional language,FALSE,TRUE,FALSE,FALSE,6
58,adaptive relevance feedback in information retrieval,TRUE,FALSE,TRUE,FALSE,0
59,fast logistic regression for text categorization with variable length n grams,TRUE,FALSE,TRUE,FALSE,0
60,scratch for budding computer scientists,FALSE,TRUE,FALSE,FALSE,6
61,attitude emergence   an effective interpretation scheme for persuasive discourse,FALSE,TRUE,FALSE,FALSE,6
62,automatic generation of dag parallelism,TRUE,FALSE,TRUE,FALSE,3
63,perception concepts and language road and ipage,FALSE,TRUE,FALSE,FALSE,6
64,threshold query optimization for uncertain data,FALSE,TRUE,FALSE,FALSE,6
65,helicopter routing for maintaining remote sites in alaska using a genetic algorithm,FALSE,TRUE,FALSE,FALSE,6
66,object class definition by generalization using upward inheritance,FALSE,TRUE,FALSE,FALSE,6
67,towards a functional architecture for intelligence based on generic information processing tasks,FALSE,TRUE,FALSE,FALSE,6
68,feature engineering for mobile sms spam filtering,TRUE,FALSE,FALSE,TRUE,0
69,exploring mouse movements for inferring query intent,TRUE,FALSE,TRUE,FALSE,0
70,non compositional language model and pattern dictionary development for japanese compound and complex sentences,FALSE,TRUE,FALSE,FALSE,6
71,a hybrid system for quantifier scoping,TRUE,FALSE,FALSE,TRUE,4
72,complex queries over web repositories,FALSE,TRUE,FALSE,FALSE,6
73,database snapshots,FALSE,TRUE,FALSE,FALSE,6
74,multi paragraph segmentation of expository text,FALSE,TRUE,FALSE,FALSE,6
75,issues in evaluation of stream learning algorithms,TRUE,FALSE,FALSE,TRUE,0
76,mace language support for building distributed systems,FALSE,TRUE,FALSE,FALSE,6
77,computable processes,TRUE,FALSE,TRUE,FALSE,3
78,weighted association rule mining from binary and fuzzy data,TRUE,FALSE,TRUE,FALSE,0
79,a unified approach to global program optimization,TRUE,FALSE,FALSE,TRUE,3
80,fast webpage classification using url features,FALSE,TRUE,FALSE,FALSE,6
81,a representation for robot plans,TRUE,FALSE,TRUE,FALSE,2
82,experience from applying rim to educational erp development,TRUE,FALSE,TRUE,FALSE,3
83,early specification of user interfaces toward a formal approach,FALSE,TRUE,FALSE,FALSE,6
84,what it means for a concurrent program to satisfy a specification why no one has specified priority,FALSE,TRUE,FALSE,FALSE,6
85,mathematical semantics and data flow programming,FALSE,TRUE,FALSE,FALSE,6
86,reducing labeling effort for structured prediction tasks,TRUE,FALSE,TRUE,FALSE,2
87,characterizing and assessing a large scale software maintenance organization,TRUE,FALSE,TRUE,FALSE,3
88,event detection from time series data,FALSE,TRUE,FALSE,FALSE,6
89,an adaptive model of decision making in planning,FALSE,TRUE,FALSE,FALSE,6
90,bsr a statistic based approach for establishing and refining software process performance baseline,TRUE,FALSE,FALSE,TRUE,3
91,a discriminative model for tree to tree translation,TRUE,FALSE,TRUE,FALSE,4
92,datr theories and datr models,TRUE,FALSE,TRUE,FALSE,4
93,teg a hybrid approach to information extraction,TRUE,FALSE,TRUE,FALSE,0
94,a visual sensor model for mobile robot localisation,TRUE,FALSE,TRUE,FALSE,2
95,supervised dimensionality reduction using mixture models,TRUE,FALSE,TRUE,FALSE,2
96,a classification algorithm for supporting object oriented views,FALSE,TRUE,FALSE,FALSE,6
97,anonymizing healthcare data a case study on the blood transfusion service,TRUE,FALSE,FALSE,TRUE,0
98,a compiler framework for speculative analysis and optimizations,TRUE,FALSE,TRUE,FALSE,3
99,levels of exploration,TRUE,FALSE,TRUE,FALSE,3
100,revision sequences and nested conditionals,FALSE,TRUE,FALSE,FALSE,6
101,aligning sentences in parallel corpora,TRUE,FALSE,TRUE,FALSE,4
102,global optimizations for parallelism and locality on scalable parallel machines,FALSE,TRUE,FALSE,FALSE,6
103,multi dimensional sequential pattern mining,TRUE,FALSE,TRUE,FALSE,0
104,independent on line monitoring of evolving systems,FALSE,TRUE,FALSE,FALSE,6
105,visual classification an interactive approach to decision tree construction,FALSE,TRUE,FALSE,FALSE,6
106,choices in practical data design,TRUE,FALSE,TRUE,FALSE,1
107,declustering databases on heterogeneous disk systems,TRUE,FALSE,TRUE,FALSE,1
108,knowledge engineering tools at the architecture level,TRUE,FALSE,TRUE,FALSE,2
109,a multiplatformmultilanguage clientserver project,FALSE,TRUE,FALSE,FALSE,6
110,a combined component approach for finding collection adapted ranking functions based on genetic programming,TRUE,FALSE,TRUE,FALSE,0
111,a general language model for information retrieval,FALSE,TRUE,FALSE,FALSE,6
112,a hierarchical method for multi class support vector machines,TRUE,FALSE,TRUE,FALSE,2
113,distributing and porting general linguistic tools,TRUE,FALSE,TRUE,FALSE,4
114,island parsing and bidirectional charts,TRUE,FALSE,TRUE,FALSE,4
115,when is temporal planning really temporal,TRUE,FALSE,TRUE,FALSE,2
116,electronic market the roadmap for university libraries and members to survive in the information jungle,TRUE,FALSE,TRUE,FALSE,1
117,addressing crosscutting deployment and configuration concerns of distributed real time and embedded systems via aspect oriented  model driven software development,FALSE,TRUE,FALSE,FALSE,6
118,mapdupreducer detecting near duplicates over massive datasets,FALSE,TRUE,FALSE,FALSE,6
119,macro by example deriving syntactic transformations from their specifications,TRUE,FALSE,TRUE,FALSE,3
120,extracting semi structured data through examples,TRUE,FALSE,TRUE,FALSE,0
121,finding surprising patterns in a time series database in linear time and space,FALSE,TRUE,FALSE,FALSE,6
122,information retrieval with commonsense knowledge,TRUE,FALSE,TRUE,FALSE,0
123,a technique for customizing object oriented knowledge representation systems with an application to network problem management,TRUE,FALSE,FALSE,TRUE,2
124,some experiments in applying inductive inference principles to surface reconstruction,FALSE,TRUE,FALSE,FALSE,6
125,using static analysis for ajax intrusion detection,FALSE,TRUE,FALSE,FALSE,6
126,independence assumptions considered harmful,FALSE,TRUE,FALSE,FALSE,6
127,a model for adaptable systems for transaction processing,FALSE,TRUE,FALSE,FALSE,6
128,resolving syntactic ambiguities with lexico semantic patterns an analogy based approach,FALSE,TRUE,FALSE,FALSE,6
129,a necessary condition for a doubly recursive rule to be equivalent to a linear recursive rule,FALSE,TRUE,FALSE,FALSE,6
130,cross task knowledge constrained self training,FALSE,TRUE,FALSE,FALSE,6
131,locating secret messages in images,FALSE,TRUE,FALSE,FALSE,6
132,on the effectiveness of optimization search strategies for parallel execution spaces,TRUE,FALSE,FALSE,TRUE,1
133,software architecture recovery of embedded software,TRUE,FALSE,FALSE,TRUE,3
134,outlines of a computer model of motivation,TRUE,FALSE,TRUE,FALSE,2
135,a formal approach to determining parallel resource bindings experience report,FALSE,TRUE,FALSE,FALSE,6
136,ellipsis resolution with underspecified scope,FALSE,TRUE,FALSE,FALSE,6
137,exploiting temporal information in retrieval of archived documents,TRUE,FALSE,TRUE,FALSE,0
138,acquiring the meaning of discourse markers,FALSE,TRUE,FALSE,FALSE,6
139,software architecture classification for estimating the cost of cots integration,FALSE,TRUE,FALSE,FALSE,6
140,dynamic file allocation in disk arrays,TRUE,FALSE,FALSE,TRUE,1
141,analysis of distributed data base processing strategies,TRUE,FALSE,TRUE,FALSE,1
142,how good is a span of terms exploiting proximity to improve web retrieval,TRUE,FALSE,TRUE,FALSE,0
143,qed a novel quaternary encoding to completely avoid re labeling in xml updates,FALSE,TRUE,FALSE,FALSE,6
144,evolutionary learning strategy using bug based search,TRUE,FALSE,TRUE,FALSE,2
145,fast shortest path distance estimation in large networks,TRUE,FALSE,TRUE,FALSE,0
146,efficient updates to independent schemes in the weak instance model,TRUE,FALSE,TRUE,FALSE,1
147,a real time garbage collector with low overhead and consistent utilization,TRUE,FALSE,TRUE,FALSE,3
148,an operational framework for value passing processes,FALSE,TRUE,FALSE,FALSE,6
149,tense aspect and cognitive representation of time,FALSE,TRUE,FALSE,FALSE,6
150,prototypes for medical case based applications,FALSE,TRUE,FALSE,FALSE,6
151,infosphere project system support for information flow applications,FALSE,TRUE,FALSE,FALSE,6
152,compressing term positions in web indexes,TRUE,FALSE,TRUE,FALSE,0
153,live visual relevance feedback for query formulation,TRUE,FALSE,TRUE,FALSE,0
154,the postroom computer teaching introductory undergraduate computer architecture,FALSE,TRUE,FALSE,FALSE,6
155,reading a set of disk pages,TRUE,FALSE,TRUE,FALSE,1
156,distributing semantic constraints between heterogeneous databases,TRUE,FALSE,TRUE,FALSE,1
157,the role of domain knowledge in data mining,FALSE,TRUE,FALSE,FALSE,6
158,prediction and management of program quality,FALSE,TRUE,FALSE,FALSE,6
159,a geometric approach to total envisioning,TRUE,FALSE,TRUE,FALSE,2
160,automated verification of practical garbage collectors,FALSE,TRUE,FALSE,FALSE,6
161,symbolic execution of the gist specification language,FALSE,TRUE,FALSE,FALSE,6
162,functional programming for freshman computer science majors,TRUE,FALSE,TRUE,FALSE,3
163,from animation to analysis in introductory computer science,FALSE,TRUE,FALSE,FALSE,6
164,complex and composite objects in cadcam databases,FALSE,TRUE,FALSE,FALSE,6
165,combining clustering and co training to enhance text classification using unlabelled data,FALSE,TRUE,FALSE,FALSE,6
166,exploring web scale language models for search query processing,FALSE,TRUE,FALSE,FALSE,6
167,cooperative caching by mobile clients in push based information systems,TRUE,FALSE,TRUE,FALSE,0
168,incremental translation utilizing constituent boundary patterns,FALSE,TRUE,FALSE,FALSE,6
169,information retrieval using a singular value decomposition model of latent semantic structure,TRUE,FALSE,TRUE,FALSE,0
170,optimizing parallel itineraries for knn query processing in wireless sensor networks,TRUE,FALSE,FALSE,TRUE,0
171,resource sharing in continuous sliding window aggregates,FALSE,TRUE,FALSE,FALSE,6
172,incremental reorganization of relational databases,TRUE,FALSE,TRUE,FALSE,1
173,introduction to the wellmade design methodology,TRUE,FALSE,TRUE,FALSE,3
174,computing first and follow functions for feature theoretic grammars,TRUE,FALSE,TRUE,FALSE,4
175,constructing lexical transducers,FALSE,TRUE,FALSE,FALSE,6
176,remembering to forget a competence preserving case deletion policy for case based reasoning systems,FALSE,TRUE,FALSE,FALSE,6
177,type checking type classes,TRUE,FALSE,TRUE,FALSE,3
178,programming as an evolutionary process,TRUE,FALSE,TRUE,FALSE,3
179,database partitioning in a cluster of processors,FALSE,TRUE,FALSE,FALSE,6
180,the t4sql temporal query language,TRUE,FALSE,TRUE,FALSE,0
181,optimally profiling and tracing programs,FALSE,TRUE,FALSE,FALSE,6
182,evaluating probabilistic queries over imprecise data,FALSE,TRUE,FALSE,FALSE,6
183,object allocation in distributed databases and mobile computers,FALSE,TRUE,FALSE,FALSE,6
184,shift reduce dependency dag parsing,FALSE,TRUE,FALSE,FALSE,6
185,bottom up filtering a parsing strategy for gpsg,TRUE,FALSE,TRUE,FALSE,4
186,arcube supporting ranking aggregate queries in partially materialized data cubes,FALSE,TRUE,FALSE,FALSE,6
187,db2 query parallelism staging and implementation,FALSE,TRUE,FALSE,FALSE,6
188,music performamatics interdisciplinary interaction,TRUE,FALSE,TRUE,FALSE,3
189,rationale reasoning by explaining,TRUE,FALSE,TRUE,FALSE,1
190,transliteration as constrained optimization,TRUE,FALSE,TRUE,FALSE,4
191,towards efficient automated singer identification in large music databases,FALSE,TRUE,FALSE,FALSE,6
192,agglomerating local patterns hierarchically with alpha,FALSE,TRUE,FALSE,FALSE,6
193,using appraisal groups for sentiment analysis,FALSE,TRUE,FALSE,FALSE,6
194,taj effective taint analysis of web applications,TRUE,FALSE,TRUE,FALSE,3
195,application of bitmap index to information retrieval,TRUE,FALSE,TRUE,FALSE,0
196,structures for manipulating proposed updates in object oriented databases,TRUE,FALSE,FALSE,TRUE,1
197,an active bilingual lexicon for machine translation,TRUE,FALSE,TRUE,FALSE,4
198,combining eye movements and collaborative filtering for proactive information retrieval,TRUE,FALSE,TRUE,FALSE,0
199,automatic online news topic ranking using media focus and user attention based on aging theory,TRUE,FALSE,TRUE,FALSE,0
200,object placement in parallel object oriented database systems,FALSE,TRUE,FALSE,FALSE,6
201,extended gloss overlaps as a measure of semantic relatedness,FALSE,TRUE,FALSE,FALSE,6
202,unifying data and domain knowledge using virtual views,FALSE,TRUE,FALSE,FALSE,6
203,semi supervised classification using sparse gaussian process regression,TRUE,FALSE,FALSE,TRUE,2
204,parallel randomized state space search,TRUE,FALSE,TRUE,FALSE,3
205,coarse indices for a tape based data warehouse,TRUE,FALSE,FALSE,TRUE,1
206,a new algorithm for scalar register promotion based on ssa form,TRUE,FALSE,FALSE,TRUE,3
207,web browsing performance of wireless thin client computing,FALSE,TRUE,FALSE,FALSE,6
208,query graphs implementing trees and freely reorderable outerjoins,TRUE,FALSE,TRUE,FALSE,1
209,multiclass core vector machine,FALSE,TRUE,FALSE,FALSE,6
210,development of a large concept oriented database for information retrieval,TRUE,FALSE,TRUE,FALSE,0
211,frame rules from answer types for code pointers,TRUE,FALSE,TRUE,FALSE,3
212,using navigation data to improve ir functions in the context of web search,TRUE,FALSE,TRUE,FALSE,0
213,exploiting informative priors for bayesian classification and regression trees,TRUE,FALSE,TRUE,FALSE,2
214,the aqua approach to querying lists and trees in object oriented databases,TRUE,FALSE,TRUE,FALSE,1
215,redescription mining structure theory and algorithms,TRUE,FALSE,FALSE,TRUE,2
216,a bayesian approach to protein model quality assessment,FALSE,TRUE,FALSE,FALSE,6
217,efficient skyline computation over low cardinality domains,TRUE,FALSE,TRUE,FALSE,1
218,freespan frequent pattern projected sequential pattern mining,TRUE,FALSE,FALSE,TRUE,0
219,scheduling and data replication to improve tape jukebox performance,TRUE,FALSE,TRUE,FALSE,1
220,phi   a logic based tool for intelligent help systems,TRUE,FALSE,FALSE,TRUE,2
221,combining link and content for community detection a discriminative approach,TRUE,FALSE,TRUE,FALSE,0
222,on indexing error tolerant set containment,TRUE,FALSE,TRUE,FALSE,1
223,a quantitative evaluation of linguistic tests for the automatic prediction of semantic markedness,FALSE,TRUE,FALSE,FALSE,6
224,document expansion for speech retrieval,TRUE,FALSE,FALSE,TRUE,0
225,automatically classifying benign and harmful data racesallusing replay analysis,TRUE,FALSE,FALSE,TRUE,3
226,functional constraints in knowledge based natural language understanding,TRUE,FALSE,TRUE,FALSE,4
227,query simplification graceful degradation for join order optimization,FALSE,TRUE,FALSE,FALSE,6
228,sim a database system based on the semantic data model,FALSE,TRUE,FALSE,FALSE,6
229,visualization and the process of modeling a cognitive theoretic view,TRUE,FALSE,TRUE,FALSE,0
230,dynamic finite versioning an effective versioning approach to concurrent transaction and query processing,TRUE,FALSE,TRUE,FALSE,1
231,the semantic matrix model smm a knowledge based solution to semantic homogeneity in multidatabases,FALSE,TRUE,FALSE,FALSE,6
232,computational complexity of planning with temporal goals,FALSE,TRUE,FALSE,FALSE,6
233,dantes an expert system for real time network troubleshooting,TRUE,FALSE,TRUE,FALSE,2
234,what is decreased by the max sum arc consistency algorithm,TRUE,FALSE,FALSE,TRUE,2
235,the rumors system of russian synthesis,FALSE,TRUE,FALSE,FALSE,6
236,efficient detection of all pointer and array access errors,FALSE,TRUE,FALSE,FALSE,6
237,arabic named entity recognition using optimized feature sets,FALSE,TRUE,FALSE,FALSE,6
238,structural ambiguity and lexical relations,FALSE,TRUE,FALSE,FALSE,6
239,agent human interactions in the continuous double auction,TRUE,FALSE,TRUE,FALSE,2
240,representing paraphrases using synchronous tags,FALSE,TRUE,FALSE,FALSE,6
241,engineering information systems implementation approaches and issues,TRUE,FALSE,TRUE,FALSE,1
242,probabilistic combination of text classifiers using reliability indicators models and results,FALSE,TRUE,FALSE,FALSE,6
243,the optimization strategy for query evaluation in rdbv1,TRUE,FALSE,TRUE,FALSE,1
244,automatic inline allocation of objects,TRUE,FALSE,TRUE,FALSE,3
245,polyhedral outer approximations with application to natural language parsing,FALSE,TRUE,FALSE,FALSE,6
246,sonet configuration management with openpm,FALSE,TRUE,FALSE,FALSE,6
247,integrating pedagogical code reviews into a cs 1 course an empirical study,FALSE,TRUE,FALSE,FALSE,6
248,the utility of feature construcuon for back propagation,FALSE,TRUE,FALSE,FALSE,6
249,using parsed corpora for structural disambiguation in the trains domain,TRUE,FALSE,TRUE,FALSE,4
250,agent based control for object manipulation with modular self reconfigurable robots,TRUE,FALSE,TRUE,FALSE,2
251,a top down approach for two level serializability,TRUE,FALSE,FALSE,TRUE,1
252,topological mapping through distributed passive sensors,TRUE,FALSE,TRUE,FALSE,2
253,a scheme for feature construction and a comparison of empirical methods,TRUE,FALSE,TRUE,FALSE,2
254,hypergraph spectral learning for multi label classification,TRUE,FALSE,TRUE,FALSE,0
255,modeling invariability of human judgments for text summarization,FALSE,TRUE,FALSE,FALSE,6
256,modeling the effect of chip failures on cache memory systems,FALSE,TRUE,FALSE,FALSE,6
257,on the economics of mass marketed software,TRUE,FALSE,TRUE,FALSE,3
258,a net structure for semantic information storage deduction and retrieval,FALSE,TRUE,FALSE,FALSE,6
259,on arabic search improving the retrieval effectiveness via a light stemming approach,TRUE,FALSE,TRUE,FALSE,0
260,an intuitive approach to normalize network structured data,FALSE,TRUE,FALSE,FALSE,6
261,array based evaluation of multi dimensional queries in object relational databases systems,FALSE,TRUE,FALSE,FALSE,6
262,grammatical inference as a principal component analysis problem,TRUE,FALSE,TRUE,FALSE,2
263,optimizing decision quality with contract algorithms,FALSE,TRUE,FALSE,FALSE,6
264,the equivalence problem for program schemata with nonintersecting loops,FALSE,TRUE,FALSE,FALSE,6
265,parsimonious concept modeling,TRUE,FALSE,TRUE,FALSE,0
266,eliminating false positives during corner finding by merging similar segments,TRUE,FALSE,FALSE,TRUE,2
267,performance engineering as a part of the development life cycle for large scale software systems,FALSE,TRUE,FALSE,FALSE,6
268,a large scale active learning system for topical categorization on the web,TRUE,FALSE,FALSE,TRUE,0
269,salsa computing the skyline without scanning the whole sky,TRUE,FALSE,TRUE,FALSE,0
270,partial evaluation as a means for inferencing data structures in an applicative language a theory and implementation in the case of prolog,TRUE,FALSE,TRUE,FALSE,3
271,making service learning accessible to computer scientists,TRUE,FALSE,TRUE,FALSE,3
272,query chains learning to rank from implicit feedback,TRUE,FALSE,TRUE,FALSE,0
273,on representing governed prepositions and handling incorrect and novel prepositions,FALSE,TRUE,FALSE,FALSE,6
274,a comparison of head transducers and transfer for a limited domain translation application,TRUE,FALSE,TRUE,FALSE,4
275,f logic a higher order language for reasoning about objects inheritance and scheme,FALSE,TRUE,FALSE,FALSE,6
276,knowledge mining by imprecise querying a classification based approach,TRUE,FALSE,TRUE,FALSE,1
277,a concept of derivation for lfg,TRUE,FALSE,TRUE,FALSE,4
278,a concurrency simulator designed for sophomore level instruction,FALSE,TRUE,FALSE,FALSE,6
279,comments on note on the expected size of a join,FALSE,TRUE,FALSE,FALSE,6
280,index access with a finite buffer,TRUE,FALSE,FALSE,TRUE,1
281,handling alternative activities in resource constrained project scheduling problems,TRUE,FALSE,TRUE,FALSE,2
282,denali a goal directed superoptimizer,TRUE,FALSE,TRUE,FALSE,3
283,large human communication networks patterns and a utility driven generator,FALSE,TRUE,FALSE,FALSE,6
284,improving the quality of uml models in practice,TRUE,FALSE,TRUE,FALSE,3
285,computer architecture and mental models,TRUE,FALSE,TRUE,FALSE,3
286,lexeme based morphology a computationaily expensive approach intended for a server architecture,TRUE,FALSE,FALSE,TRUE,4
287,scalable formal design methods for asynchronous vlsi,FALSE,TRUE,FALSE,FALSE,6
288,modeling lsh for performance tuning,TRUE,FALSE,TRUE,FALSE,0
289,from reading to retrieval freeform ink annotations as queries,FALSE,TRUE,FALSE,FALSE,6
290,splitting without backtracking,FALSE,TRUE,FALSE,FALSE,6
291,an evaluation framework for algebraic object oriented query models,FALSE,TRUE,FALSE,FALSE,6
292,predicting learnt clauses quality in modern sat solvers,FALSE,TRUE,FALSE,FALSE,6
293,on the uniformity of software evolution patterns,FALSE,TRUE,FALSE,FALSE,6
294,authoring multimedia documents using wysiwym editing,FALSE,TRUE,FALSE,FALSE,6
295,static and dynamic semantics processing,FALSE,TRUE,FALSE,FALSE,6
296,parallel grace hash join on shared everything multiprocessor implementation and performance evaluation on symmetry s81,TRUE,FALSE,TRUE,FALSE,1
297,two directional record layout for multiple inheritance,TRUE,FALSE,TRUE,FALSE,3
298,an experimental study of the impact of information extraction accuracy on semantic search performance,FALSE,TRUE,FALSE,FALSE,6
299,recursion in logics of programs,TRUE,FALSE,TRUE,FALSE,3
300,improve web search using image snippets,FALSE,TRUE,FALSE,FALSE,6
301,representing constraints with automata,FALSE,TRUE,FALSE,FALSE,6
302,evaluating the accuracy of an unlexicalized statistical parser on the parc depbank,FALSE,TRUE,FALSE,FALSE,6
303,zoomuserviews querying relevant provenance in workflow systems,TRUE,FALSE,FALSE,TRUE,1
304,stepwise nearest neighbor discriminant analysis,FALSE,TRUE,FALSE,FALSE,6
305,an agreement corrector for russian,FALSE,TRUE,FALSE,FALSE,6
306,foral lp design and implementation,FALSE,TRUE,FALSE,FALSE,6
307,overprvning large decision trees,FALSE,TRUE,FALSE,FALSE,6
308,reporting about industrial strength software engineering courses for undergraduates,TRUE,FALSE,TRUE,FALSE,3
309,network latency optimizations in distributed database systems,TRUE,FALSE,TRUE,FALSE,1
310,an expected cost analysis of backtracking and non backtracking algorithms,FALSE,TRUE,FALSE,FALSE,6
311,the well tempered semaphore theme with variations,FALSE,TRUE,FALSE,FALSE,6
312,implementing physical hyperlinks using ubiquitous identifier resolution,FALSE,TRUE,FALSE,FALSE,6
313,process programming by hindsight,TRUE,FALSE,TRUE,FALSE,3
314,stable strategies for sharing information among agents,FALSE,TRUE,FALSE,FALSE,6
315,an object oriented refactoring of huffman encoding using the java collections framework,FALSE,TRUE,FALSE,FALSE,6
316,efficiently answering reachability queries on very large directed graphs,FALSE,TRUE,FALSE,FALSE,6
317,knowledge based handling of design expertise,FALSE,TRUE,FALSE,FALSE,6
318,thematic mapping   from unstructured documents to taxonomies,TRUE,FALSE,TRUE,FALSE,0
319,technology transfer macro process a practical guide for the effective introduction of technology,TRUE,FALSE,TRUE,FALSE,3
320,the organizational and informational context of large business system integration projects,TRUE,FALSE,TRUE,FALSE,1
321,gess a scalable similarity join algorithm for mining large data sets in high dimensional spaces,TRUE,FALSE,TRUE,FALSE,0
322,automatic noun classification by using japanese english word pairs,FALSE,TRUE,FALSE,FALSE,6
323,reasoning about exceptions during plan execution monitoring,FALSE,TRUE,FALSE,FALSE,6
324,discovering strong skyline points in high dimensional spaces,FALSE,TRUE,FALSE,FALSE,6
325,automatic link detection a sequence labeling approach,TRUE,FALSE,TRUE,FALSE,0
326,great principles in computing curricula,FALSE,TRUE,FALSE,FALSE,6
327,maintenance of views,FALSE,TRUE,FALSE,FALSE,6
328,partial collection replication versus caching for information retrieval systems,TRUE,FALSE,TRUE,FALSE,0
329,planning for human robot interaction using time state aggregated pomdps,FALSE,TRUE,FALSE,FALSE,6
330,automatic generation of fast optimizing code generators,FALSE,TRUE,FALSE,FALSE,6
331,alternatives to two classic data structures,TRUE,FALSE,TRUE,FALSE,3
332,the need for distributed asynchronous transactions,FALSE,TRUE,FALSE,FALSE,6
333,the effects of word order and segmentation on translation retrieval performance,FALSE,TRUE,FALSE,FALSE,6
334,conflict driven load control for the avoidance of data contention thrashing,FALSE,TRUE,FALSE,FALSE,6
